Date,124-Trimethylbenzene,224-Trimethylpentane,234-Trimethylpentane,23-Dimethylbutane,23-Dimethylpentane,2-Methylheptane,3-Methylhexane,3-Methylpentane,Acetylene,Benzene,Cis-2-Butene,Cis-2-Pentene,Ethane,Ethylbenzene,Ethylene,Isobutane,Isopentane,Isoprene,Isopropylbenzene,M_P Xylene,M-Diethylbenzene,M-Ethyltoluene,N-Butane,N-Decane,N-Heptane,N-Hexane,N-Nonane,N-Octane,N-Pentane,N-Propylbenzene,N-Undecane,O-Ethyltoluene,O-Xylene,Propane,Propylene,Styrene,Toluene,Trans-2-Butene,Trans-2-Pentene,Unidentified,TNMOC
6/7/2005 3:00,0.301500189,0.453000284,0.156000098,0.157500099,0.093000058,0.063000039,0.177000111,0.372000233,0.414000259,0.409500256,0.027000017,0.073500046,1.501500940,0.207000130,0.984000616,0.754500472,1.578000988,0.219000137,0.008333339,0.709500444,0.025500016,0.463500290,1.021500639,0.085500054,0.175500110,0.937500587,0.093000058,0.102000064,0.832500521,0.055500035,0.073500046,0.088500055,0.253500159,1.440000901,0.571500358,0.153000096,1.173000734,0.091500057,0.144000090,69.810865710,996.667200000
6/7/2005 6:00,0.262500164,0.466500292,0.169500106,0.147000092,0.093000058,0.064500040,0.168000105,0.352500221,0.510000319,0.424500266,0.040500025,0.067500042,1.144500716,0.201000126,1.158000725,0.585000366,1.275000798,0.924000578,0.028500018,0.645000404,0.034500022,0.210000131,0.837000524,0.084000053,0.141000088,0.514500322,0.069000043,0.088500055,0.636000398,0.052500033,0.060000038,0.118500074,0.244500153,1.228500769,0.493500309,0.090000056,1.044000654,0.025500016,0.126000079,36.357994070,686.184200000
6/8/2005 3:00,0.333000208,0.532500333,0.199500125,0.250500157,0.115500072,0.079500050,0.237000148,0.765000479,0.960000601,1.023000640,0.070500044,0.093000058,5.260503293,0.316500198,2.509501571,1.203000753,2.538001589,0.213000133,0.008333339,0.777000486,0.054000034,0.223500140,1.711501071,0.111000069,0.250500157,1.396500874,0.100500063,0.123000077,1.486500931,0.060000038,0.102000064,0.085500054,0.271500170,2.769001733,1.242000777,0.165000103,1.513500947,0.097500061,0.180000113,26.767588610,998.681200000
6/8/2005 6:00,0.322500202,0.478500300,0.162000101,0.208500131,0.102000064,0.085500054,0.226500142,0.597000374,0.703500440,1.017000637,0.066000041,0.069000043,3.190501997,0.256500161,2.487001557,0.970500608,1.878001176,1.051500658,0.055500035,0.679500425,0.039000024,0.199500125,1.441500902,0.166500104,0.193500121,1.101000689,0.160500100,0.150000094,1.087500681,0.055500035,0.115500072,0.118500074,0.244500153,2.428501520,1.251000783,0.085500054,1.297500812,0.124500078,0.139500087,31.011172820,914.929800000
6/9/2005 3:00,0.244500153,0.448500281,0.165000103,0.088500055,0.118500074,0.052500033,0.034500022,0.531000332,0.328500206,0.400500251,0.051000032,0.102000064,1.482000928,0.226500142,0.819000513,0.709500444,1.744501092,0.198000124,0.036000023,0.676500423,0.008333339,0.220500138,1.527000956,0.079500050,0.181500114,0.586500367,0.087000054,0.084000053,0.909000569,0.058500037,0.057000036,0.072000045,0.240000150,1.743001091,0.456000285,0.141000088,1.312500822,0.033000021,0.144000090,17.883965800,580.132000000
6/10/2005 3:00,0.103500065,0.118500074,0.049500031,0.021000013,0.008333339,0.008333339,0.043500027,0.103500065,0.120000075,0.117000073,0.078000049,0.008333339,0.562500352,0.057000036,0.226500142,0.156000098,0.825000516,0.295500185,0.008333339,0.193500121,0.008333339,0.008333339,0.472500296,0.008333339,0.064500040,0.202500127,0.008333339,0.034500022,0.364500228,0.008333339,0.008333339,0.008333339,0.055500035,0.537000336,0.085500054,0.008333339,0.337500211,0.129000081,0.036000023,25.504988740,348.000000000
6/10/2005 6:00,0.084000053,0.085500054,0.033000021,0.008333339,0.008333339,0.008333339,0.040500025,0.081000051,0.123000077,0.118500074,0.008333339,0.008333339,0.492000308,0.051000032,0.187500117,0.174000109,0.697500437,0.718500450,0.008333339,0.166500104,0.008333339,0.008333339,0.510000319,0.008333339,0.055500035,0.207000130,0.008333339,0.008333339,0.318000199,0.008333339,0.008333339,0.008333339,0.057000036,0.523500328,0.091500057,0.008333339,0.265500166,0.008333339,0.008333339,15.022489370,256.000000000
6/11/2005 6:00,0.207000130,0.394500247,0.133500084,0.108000068,0.069000043,0.036000023,0.063000039,0.399000250,0.306000192,0.352500221,0.027000017,0.054000034,1.810501133,0.163500102,0.625500392,0.501000314,1.123500703,1.321500827,0.008333339,0.502500315,0.045000028,0.213000133,1.254000785,0.048000030,0.121500076,0.325500204,0.054000034,0.058500037,0.640500401,0.033000021,0.051000032,0.091500057,0.181500114,1.555500974,0.246000154,0.091500057,0.990000620,0.031500020,0.097500061,6.205385104,431.703320000
6/12/2005 3:00,0.370500232,0.829500519,0.267000167,0.250500157,0.127500080,0.087000054,0.162000101,1.164000729,0.520500326,0.535500335,0.078000049,0.124500078,1.564500979,0.259500162,0.748500469,0.729000456,2.305501443,0.592500371,0.008333339,0.852000533,0.103500065,0.675000423,1.935001211,0.061500038,0.220500138,5.008503135,0.055500035,0.111000069,1.356000849,0.058500037,0.051000032,0.099000062,0.316500198,1.728001082,0.345000216,0.139500087,1.738501088,0.094500059,0.243000152,132.637445900,1752.000000000
6/12/2005 6:00,0.126000079,0.418500262,0.130500082,0.163500102,0.054000034,0.031500020,0.034500022,0.463500290,0.262500164,0.435000272,0.008333339,0.033000021,1.264500792,0.121500076,1.155000723,0.537000336,1.357500850,0.625500392,0.008333339,0.313500196,0.008333339,0.079500050,1.078500675,0.042000026,0.076500048,0.397500249,0.048000030,0.054000034,0.658500412,0.008333339,0.037500023,0.055500035,0.129000081,0.991500621,0.463500290,0.008333339,0.759000475,0.008333339,0.052500033,13.984974010,444.000000000
6/13/2005 3:00,0.223500140,0.363000227,0.129000081,0.120000075,0.069000043,0.040500025,0.037500023,0.381000239,0.232500146,0.658500412,0.008333339,0.048000030,3.358502102,0.412500258,1.110000695,0.717000449,1.222500765,0.087000054,0.008333339,0.451500283,0.008333339,0.172500108,1.323000828,0.085500054,0.120000075,0.373500234,0.060000038,0.057000036,0.720000451,0.039000024,0.048000030,0.045000028,0.210000131,1.881001178,0.322500202,0.232500146,1.083000678,0.008333339,0.078000049,22.449965540,620.000000000
6/13/2005 6:00,0.231000145,0.373500234,0.130500082,0.126000079,0.061500038,0.039000024,0.130500082,0.406500254,0.331500208,0.561000351,0.024000015,0.055500035,2.455501537,0.222000139,1.288500807,0.877500549,1.438500901,0.910500570,0.008333339,0.445500279,0.008333339,0.150000094,1.668001044,0.063000039,0.126000079,0.568500356,0.064500040,0.049500031,0.991500621,0.039000024,0.048000030,0.085500054,0.177000111,2.194501374,0.405000254,0.108000068,0.954000597,0.015000009,0.093000058,18.299962630,624.000000000
6/18/2005 3:00,0.124500078,0.457500286,0.172500108,0.121500076,0.055500035,0.024000015,0.094500059,0.573000359,0.142500089,0.283500177,0.008333339,0.063000039,1.339500839,0.096000060,0.514500322,0.490500307,1.663501041,0.103500065,0.008333339,0.270000169,0.008333339,0.078000049,1.032000646,0.046500029,0.129000081,1.492500934,0.054000034,0.048000030,0.706500442,0.008333339,0.036000023,0.025500016,0.109500069,1.297500812,0.283500177,0.123000077,0.615000385,0.008333339,0.105000066,16.715733340,474.386080000
6/18/2005 6:00,0.082500052,0.169500106,0.061500038,0.067500042,0.008333339,0.008333339,0.078000049,0.295500185,0.178500112,0.187500117,0.008333339,0.037500023,1.011000633,0.073500046,0.342000214,0.309000193,0.606000379,0.301500189,0.008333339,0.208500131,0.008333339,0.088500055,0.513000321,0.008333339,0.058500037,0.273000171,0.008333339,0.031500020,0.472500296,0.008333339,0.008333339,0.008333339,0.073500046,1.012500634,0.267000167,0.109500069,0.421500264,0.008333339,0.031500020,14.325024620,311.140320000
6/19/2005 3:00,0.008333339,0.271500170,0.093000058,0.090000056,0.052500033,0.036000023,0.091500057,0.183000115,0.213000133,0.244500153,0.008333339,0.008333339,1.188000744,0.091500057,0.334500209,0.324000203,1.135500711,0.394500247,0.008333339,0.265500166,0.008333339,0.061500038,0.778500487,0.072000045,0.114000071,0.222000139,0.031500020,0.070500044,0.540000338,0.008333339,0.008333339,0.034500022,0.181500114,1.081500677,0.159000100,0.008333339,0.562500352,0.008333339,0.051000032,35.341531270,522.072400000
