Date	PM2.5	Aluminum	Ammonium Ion	Arsenic	Barium	Bromine	Calcium	Chlorine	Chromium	Copper	Elemental Carbon	Iron	Lead	Manganese	Nickel	Organic Carbon	OM	Potassium Ion	Selenium	Silicon	Sodium Ion	Sulfate	Titanium	Total Nitrate	Vanadium	Zinc
3/6/2001	0.54	0.020833333	0.064284044	0.003166667	0.074166667	0.002666667	0.010857395	0.0125	0.002166667	0.002166667	0.208333333	0.010444168	0.007416667	0.002916667	0.001583333	0.305103984	0.427145578	0.02	0.002833333	0.018670621	0.029932908	0.12756921	0.004416667	0.07944587	0.003166667	0.002111835
3/8/2001	1.69	0.020833333	0.169608036	0.003166667	0.074166667	0.001274466	0.012367212	0.0125	0.002166667	0.001612451	0.111788498	0.011882257	0.007416667	0.002916667	0.001266245	0.496284984	0.694798978	0.02	0.002833333	0.019129687	0.029797588	0.334078289	0.004416667	0.11723607	0.003166667	0.002314372
3/11/2001	1.96	0.020833333	0.131167396	0.003166667	0.074166667	0.001231092	0.011434305	0.062404416	0.002166667	0.001608528	0.118023995	0.012004542	0.007416667	0.002916667	0.001583333	0.942081246	1.318913744	0.021240189	0.002833333	0.019540791	0.031694061	0.222769799	0.002892742	0.12638883	0.003166667	0.002149492
3/14/2001	0.85	0.020833333	0.080035216	0.003166667	0.074166667	0.002666667	0.011155743	0.0125	0.002166667	0.002166667	0.108724208	0.011030586	0.007416667	0.002916667	0.001583333	0.346778555	0.485489977	0.02084684	0.002833333	0.019156433	0.025	0.169711235	0.004416667	0.076960317	0.003166667	0.002112317
3/17/2001	2.01	0.020833333	0.23381325	0.003166667	0.074166667	0.001343063	0.010607981	0.0125	0.002166667	0.002166667	0.107234322	0.010818738	0.007416667	0.002916667	0.00135571	0.364945828	0.510924159	0.02	0.002833333	0.019222594	0.034452778	0.354676167	0.004416667	0.19490176	0.002267157	0.002286185
3/20/2001	0.69	0.020833333	0.064911061	0.003166667	0.074166667	0.002666667	0.011812465	0.0125	0.002166667	0.002166667	0.208333333	0.010843168	0.007416667	0.002916667	0.001272498	0.382582548	0.535615567	0.020856061	0.002833333	0.019732717	0.032661461	0.124830699	0.004416667	0.085048493	0.003166667	0.002111548
3/23/2001	0.89	0.01676	6.74	0.00392	0.0272	0.01468	0.143	0.01054	0.00208	0.01126	2.58	0.326	0.01728	0.00792	0.00512	16.88	23.632	0.2288	0.00548	0.209	0.3524	15.04	0.0146	5.08	0.00932	0.0534
3/26/2001	0.9	0.020833333	0.089111648	0.003166667	0.074166667	0.001200465	0.011025967	0.0125	0.002166667	0.002166667	0.208333333	0.010561583	0.007416667	0.002916667	0.001583333	0.324146152	0.453804613	0.02	0.002833333	0.019090479	0.035948088	0.182314408	0.004416667	0.102416679	0.003166667	0.0021178
3/29/2001	1.71	0.020833333	0.167704758	0.003166667	0.074166667	0.001303497	0.011372334	0.0623375	0.002166667	0.002166667	0.106278085	0.010719328	0.007416667	0.002916667	0.001268563	0.437799523	0.612919332	0.020942823	0.002833333	0.019156433	0.04493904	0.216773392	0.004416667	0.182165574	0.003166667	0.002166176
4/1/2001	1.92	0.020833333	0.176764351	0.003166667	0.074166667	0.001235675	0.010821759	0.0125	0.002166667	0.001618928	0.108660846	0.010731707	0.007416667	0.002916667	0.001266929	0.47130811	0.659831353	0.021122008	0.002833333	0.018917717	0.039654501	0.210477513	0.004416667	0.18630203	0.003166667	0.002170586
4/4/2001	0.97	0.020833333	0.105151728	0.003166667	0.074166667	0.002666667	0.010857395	0.0125	0.002166667	0.002166667	0.107471966	0.010956496	0.007416667	0.002916667	0.001583333	0.364228137	0.509919392	0.02102824	0.002833333	0.01920301	0.10293349	0.174823292	0.004416667	0.136898124	0.003166667	0.002097634
4/7/2001	2.34	0.020833333	0.176764351	0.003166667	0.074166667	0.001327827	0.01178664	0.066854772	0.002166667	0.001812015	0.11626215	0.011974366	0.003031867	0.002916667	0.001301463	0.536863804	0.751609326	0.021898097	0.002833333	0.020173966	0.159873001	0.325344592	0.00276121	0.16959592	0.001982326	0.003228164
4/10/2001	1.17	0.020833333	0.126133405	0.003166667	0.074166667	0.002666667	0.010971684	0.0125	0.002166667	0.002166667	0.105361591	0.010884592	0.007416667	0.002916667	0.001583333	0.350189492	0.490265288	0.021003881	0.002833333	0.019693908	0.053597065	0.191635026	0.004416667	0.147996237	0.003166667	0.002104608
4/13/2001	1.36	0.027183274	0.078897946	0.003166667	0.074166667	0.001185048	0.019687891	0.0125	0.002166667	0.001844915	0.124198691	0.015629313	0.007416667	0.002120087	0.001266019	0.509397542	0.713156559	0.021629449	0.002833333	0.026337806	0.114158448	0.192645538	0.003191857	0.082933264	0.001763855	0.002585042
4/16/2001	1.02	0.01676	6.74	0.00392	0.0272	0.01468	0.143	0.01054	0.00208	0.01126	2.58	0.326	0.01728	0.00792	0.00512	16.88	23.632	0.2288	0.00548	0.209	0.3524	15.04	0.0146	5.08	0.00932	0.0534
